Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
207,1853,403,124,212,133,Lightning⚡Connect,,Only Tor,9.7 bitcoin,63,035542f0f213a5b6e985dff0e0fd973da01bd77325d44242fc325d0ea8eea3d312
299,717,197,183,302,134,Blixt Wallet 🟡,LSP,Only Tor,9.6 bitcoin,47,0230a5bca558e6741460c13dd34e636da28e52afd91cf93db87ed1b0392a7466eb
189,802,193,112,191,135,OLYMPUS by ZEUS,LSP,Only Tor,9.6 bitcoin,69,031b301307574bbe9b9ac7b79cbe1700e31e544513eae0b5d7497483083f99e581
120,299,442,155,117,136,BitcoinJungleCR,,Only Tor,9.6 bitcoin,100,03797da684da0b6de8a813f9d7ebb0412c5d7504619b3fa5255861b991a7f86960
2246,3944,3445,3437,239,137,,,Only Tor,9.4 bitcoin,56,024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17
127,234,86,82,127,138,RecklessApotheosis,,Only Tor,9.3 bitcoin,92,03c72f89b660de43fc5c77ef879cbf7846601af88befb80e436242909b14fd0495
129,279,46,66,124,139,flashsats.xyz,,Only Tor,9.3 bitcoin,95,038ba8f67ba8ff5c48764cdd3251c33598d55b203546d08a8f0ec9dcd9f27e3637
140,606,827,95,141,140,tuganode⚡,,Only Tor,9.2 bitcoin,87,038c85a08bf4e0576780f9212a6b309314f1050266359da138f0a34a9c0d139883
74,91,21,72,78,141,DeutscheBank|CLN,,Only Tor,9.2 bitcoin,147,03b9aacb265dc5ebde04b91b28f7c8bb6ba0af146e5f37426915742daf8f195a09
89,183,970,77,95,142,⚡️MasterYoda⚡,,Only Tor,9.1 bitcoin,129,033dee9c6a0afc40ffd8f27d68ef260f3e5e1c19e59c6f9bb607fb04c1d497a809
2246,3944,3445,3437,252,143,,,Only Tor,9.1 bitcoin,54,02e1221434a21b8ce5818e92c6ec76301824dc87ed94b4628242e4b1f4a6ff445f
62,128,1484,136,70,144,NikolaTesla,,Only Tor,9.0 bitcoin,164,035cf526f4c01ed693bacd7434461b9dc53d65b910fb3006110d8b42a574858fb2
2981,4812,1590,1384,2385,145,Bitget Wallet,,Only Tor,9.0 bitcoin,6,029cb5d877fb65761c9edc2810037b532631d22cd0e2b696051cf0d07d6ee218c0
3,2,26,57,2,146,1ML.com node ALPHA,,Only Clearnet,8.8 bitcoin,1760,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266
179,1131,414,104,179,147,Brrrrrak,,Only Clearnet,8.8 bitcoin,72,03ec512342aeee370b53d9fd12dbd5283dcd670d248018b3a1cf537313e76e6a2d
591,1270,202,313,512,148,Net Neutrality,,Only Tor,8.8 bitcoin,31,02cd546a60230b5d5c603bf79ff344afaf071cd42438bdd7846a5de4595c1ef304
2246,3944,3445,3437,264,149,,,Only Tor,8.7 bitcoin,52,031fab3f6a8ae8588668fbe4bf4cae14c3aaa4134330b1798b81e60aaf9662ff20
